case_id,run_id,proxy_id,expected_sub_check_id,expected_result_state,target_signal,selector,trip_id,segment_id,injection_start_timestamp,injection_end_timestamp,actual_result_state,decision_reason,decision_margin,dtc_candidate_label,dtc_emitted,routed_dtc,confidence,passed,decisions_path
1s2_coolant_overheat_high,fault_injection_20260724T184919Z__1s2_coolant_overheat_high,cooling_degradation,1-S2,triggered,coolant_temp,post_warmup,trip_0001,trip_0001_seg_001,2017-07-05T05:25:20Z,2017-07-05T05:28:39Z,triggered,condition_persistence_met,20.0,P0217,True,P0217,high,True,proxy/70_decisions/proxy_decisions.csv
1s3_coolant_rising_precursor,fault_injection_20260724T184919Z__1s3_coolant_rising_precursor,cooling_degradation,1-S3,pending,coolant_temp,post_warmup,trip_0001,trip_0001_seg_001,2017-07-05T05:25:20Z,2017-07-05T05:28:59Z,pending,condition_persistence_met,40.0,P0217,False,,high,True,proxy/70_decisions/proxy_decisions.csv
2s2_maf_under_read,fault_injection_20260724T184919Z__2s2_maf_under_read,air_intake_maf_anomaly,2-S2,triggered,maf,post_warmup_high_load,trip_0001,trip_0001_seg_001,2017-07-05T05:29:09Z,2017-07-05T05:29:23Z,triggered,condition_persistence_met,2.0,P0101,True,P0101,high,True,proxy/70_decisions/proxy_decisions.csv
2s3b_maf_zero_while_firing,fault_injection_20260724T184919Z__2s3b_maf_zero_while_firing,air_intake_maf_anomaly,2-S3b,triggered,maf,engine_firing,trip_0001,trip_0001_seg_001,2017-07-05T05:16:56Z,2017-07-05T05:17:07Z,triggered,condition_persistence_met,2.0,P0102,True,P0102,high,True,proxy/70_decisions/proxy_decisions.csv
3s1a_pedal_e_offset,fault_injection_20260724T184919Z__3s1a_pedal_e_offset,accelerator_pedal_sensor,3-S1a,triggered,accel_pedal_e,pedal_lowmotion,trip_0001,trip_0001_seg_001,2017-07-05T05:28:23Z,2017-07-05T05:28:57Z,triggered,condition_persistence_met,2.0,P2138,True,P2138,high,True,proxy/70_decisions/proxy_decisions.csv
3s1b_pedal_extreme_delta,fault_injection_20260724T184919Z__3s1b_pedal_extreme_delta,accelerator_pedal_sensor,3-S1b,triggered,accel_pedal_e,engine_firing,trip_0001,trip_0001_seg_001,2017-07-05T05:16:56Z,2017-07-05T05:16:58Z,triggered,condition_persistence_met,1.0,P2138,True,P2138,provisional,True,proxy/70_decisions/proxy_decisions.csv
4s1_iat_frozen_context,fault_injection_20260724T184919Z__4s1_iat_frozen_context,intake_air_temperature_sensor_fault,4-S1,triggered,intake_temp,iat_context_change,trip_0001,trip_0001_seg_001,2017-07-05T05:22:27Z,2017-07-05T05:26:36Z,triggered,condition_persistence_met,73.0,P0111,True,P0111,high,True,proxy/70_decisions/proxy_decisions.csv
4s3_iat_low_range,fault_injection_20260724T184919Z__4s3_iat_low_range,intake_air_temperature_sensor_fault,4-S3,triggered,intake_temp,engine_firing,trip_0001,trip_0001_seg_001,2017-07-05T05:16:56Z,2017-07-05T05:16:56Z,triggered,range_violation,1.0,P0112,True,P0112,high,True,proxy/70_decisions/proxy_decisions.csv
5s1_map_suppressed_step_response,fault_injection_20260724T184919Z__5s1_map_suppressed_step_response,map_load_signal_plausibility_fault,5-S1,triggered,map,pedal_step_events,trip_0001,trip_0001_seg_001,2017-07-05T05:26:04Z,2017-07-05T05:29:54Z,triggered,m_of_n_met,0.0,P0106,True,P0106,high,True,proxy/70_decisions/proxy_decisions.csv
5s2_map_residual_high,fault_injection_20260724T184919Z__5s2_map_residual_high,map_load_signal_plausibility_fault,5-S2,triggered,maf,steady_driving,trip_0001,trip_0001_seg_001,2017-07-05T05:31:26Z,2017-07-05T05:32:10Z,triggered,condition_persistence_met,12.0,,False,P0101,high,True,proxy/70_decisions/proxy_decisions.csv
5s3_map_frozen_context,fault_injection_20260724T184919Z__5s3_map_frozen_context,map_load_signal_plausibility_fault,5-S3,triggered,map,map_context_change,trip_0001,trip_0001_seg_001,2017-07-05T05:21:59Z,2017-07-05T05:26:08Z,triggered,condition_persistence_met,71.0,P0106,True,P0106,high,True,proxy/70_decisions/proxy_decisions.csv
