csv_path,output_shape,anomaly_type,risk_score,risk_level,prediction_confidence,estimated_cycles_to_failure,estimated_failure_probability,projection_is_null,risk_history_count,has_notes,notes,has_proxy_decisions_path,proxy_decisions_path,has_proxy_provenance_note,selected_for_eval,selection_reason
data/raw/OBD-II-Dataset/2017-07-05_Seat_Leon_RT_S_Stau.csv,batch,cooling_degradation,1.0,High,0.6534,,,True,6,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132251Z_bbed21dd/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-05_Seat_Leon_S_KA_Normal.csv,batch,cooling_degradation,1.0,High,0.6464,,,True,5,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132257Z_878ad543/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-06_Seat_Leon_KA_KA_Normal.csv,batch,cooling_degradation,0.6929,Medium,0.7713,,,True,2,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132304Z_72c56846/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-06_Seat_Leon_KA_RT_Normal.csv,batch,cooling_degradation,1.0,High,0.6531,,,True,8,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132309Z_8bad4903/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-07_Seat_Leon_RT_S_Normal.csv,batch,cooling_degradation,0.4804,Medium,0.8341,,,True,5,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132316Z_d18c204e/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-07_Seat_Leon_S_RT_Normal.csv,batch,cooling_degradation,0.342,Low,0.8839,,,True,4,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132322Z_5c940386/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-10_Seat_Leon_KA_KA_Stau.csv,batch,cooling_degradation,0.1278,Low,0.95,,,True,2,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132328Z_ea7dfe5a/proxy/70_decisions/proxy_decisions.csv,False,True,representative_cooling_degradation_low
data/raw/OBD-II-Dataset/2017-07-11_Seat_Leon_KA_KA_Stau.csv,batch,cooling_degradation,0.1194,Low,0.95,,,True,1,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132339Z_6dc982e2/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-11_Seat_Leon_KA_S_Normal.csv,batch,cooling_degradation,1.0,High,0.6598,,,True,5,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132345Z_01642066/proxy/70_decisions/proxy_decisions.csv,False,False,
data/raw/OBD-II-Dataset/2017-07-11_Seat_Leon_S_RT_Frei.csv,batch,cooling_degradation,0.5236,Medium,0.827,,,True,4,True,Failure estimate unavailable: need at least 5 chronological trips; found 1.,True,data/processed/runs/dashboard_upload_20260802T132351Z_922e7190/proxy/70_decisions/proxy_decisions.csv,False,False,
